model_key,train_counter,train_losses,test_counter,test_losses,test_accuracy,number_of_parameters
deep_and_wide_0.01,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.325474739074707, 1.3117315769195557, 0.8608956336975098, 0.6658195853233337, 0.42530667781829834, 0.561976432800293, 0.37577885389328003, 0.39746594429016113, 0.2988601624965668, 0.247312992811203, 0.4105164408683777, 0.20427767932415009, 0.22871707379817963, 0.2593432366847992, 0.3126766085624695, 0.28270241618156433, 0.18891072273254395, 0.2972676753997803, 0.2198946326971054, 0.18242304027080536, 0.07321800291538239, 0.12901680171489716, 0.1964058130979538, 0.10538758337497711, 0.19187495112419128, 0.30612438917160034, 0.06955019384622574, 0.19498497247695923, 0.15698085725307465, 0.21867644786834717]","[0, 60000, 120000, 180000]","[2.300436587905884, 0.15430376833677292, 0.08919765259027482, 0.07003337976187468]",97.91000366210938,209456
deep_and_narrow_0.01,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.278196334838867, 2.1061580181121826, 1.2736002206802368, 0.9976996779441833, 0.7432437539100647, 0.5050341486930847, 0.5915822386741638, 0.458469033241272, 0.4180105924606323, 0.46641695499420166, 0.3253726661205292, 0.39907771348953247, 0.1993531733751297, 0.3600705862045288, 0.24349534511566162, 0.33675482869148254, 0.25874316692352295, 0.37656402587890625, 0.20847167074680328, 0.2762800455093384, 0.21842823922634125, 0.1660555899143219, 0.19583609700202942, 0.2676435112953186, 0.38798221945762634, 0.1966249942779541, 0.1389068067073822, 0.263632208108902, 0.19726845622062683, 0.060055725276470184]","[0, 60000, 120000, 180000]","[2.312954706954956, 0.22059927878379823, 0.13724205177426338, 0.10188419618606567]",96.83000183105469,26474
shallow_and_narrow_0.01,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.3382813930511475, 1.1941336393356323, 0.5686984062194824, 0.7155802249908447, 0.46912604570388794, 0.47320815920829773, 0.3323579728603363, 0.30507969856262207, 0.44528159499168396, 0.45611509680747986, 0.37064963579177856, 0.5491525530815125, 0.3661835193634033, 0.26496443152427673, 0.30243736505508423, 0.29092565178871155, 0.5908400416374207, 0.3575272262096405, 0.29505300521850586, 0.3062252700328827, 0.29217153787612915, 0.18118508160114288, 0.32624638080596924, 0.3043828010559082, 0.3367178738117218, 0.3855246901512146, 0.22349132597446442, 0.32646018266677856, 0.2181292325258255, 0.24841530621051788]","[0, 60000, 120000, 180000]","[2.3176981327056887, 0.2648682116985321, 0.19652710802555085, 0.16120644229650496]",95.11000061035156,29290
shallow_and_wide_0.01,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.303096055984497, 0.6023858189582825, 0.4745867848396301, 0.2853911221027374, 0.44333338737487793, 0.178190216422081, 0.267582505941391, 0.18164099752902985, 0.3812731206417084, 0.4452146291732788, 0.18659427762031555, 0.2885661721229553, 0.13483567535877228, 0.15546812117099762, 0.14816118776798248, 0.4584275484085083, 0.219625785946846, 0.2685142457485199, 0.08118705451488495, 0.1137920394539833, 0.05455208569765091, 0.1848992556333542, 0.16362227499485016, 0.1346205770969391, 0.25239503383636475, 0.25865647196769714, 0.1848214566707611, 0.13999372720718384, 0.07834465056657791, 0.09862738102674484]","[0, 60000, 120000, 180000]","[2.298416018676758, 0.22545550951957702, 0.14001765800714494, 0.11891317505836486]",96.38999938964844,370394
deep_and_wide_1,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.359916925430298, 2.3047244548797607, 2.3001437187194824, 2.312391519546509, 2.315708875656128, 2.303964138031006, 2.312761068344116, 2.278137445449829, 2.29874587059021, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0, 60000, 120000, 180000]","[2.31712179107666, nan, nan, nan]",9.800000190734863,209456
deep_and_narrow_1,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.323336124420166, 2.291353464126587, 2.336212635040283, 2.3377277851104736, 2.293541193008423, 2.3085381984710693, 2.3084146976470947, 2.2954647541046143, 2.296391487121582, 2.3038408756256104, 2.313498020172119, 2.3039560317993164, 2.2982611656188965, 2.307194232940674, 2.298823833465576, 2.3225808143615723, 2.294189453125, 2.3016741275787354, 2.3170323371887207, 2.321533441543579, 2.291640520095825, 2.297823190689087, 2.3163294792175293, 2.3001303672790527, 2.2916460037231445, 2.313560724258423, 2.289229154586792, 2.3025453090667725, 2.325050115585327, 2.3163139820098877]","[0, 60000, 120000, 180000]","[2.312998453140259, 2.3053976177215576, 2.3029144874572753, 2.304737349319458]",11.350000381469727,26474
shallow_and_narrow_1,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.3711864948272705, 2.291483163833618, 2.3259551525115967, 2.2945780754089355, 2.3174681663513184, 2.3104398250579834, 2.3144266605377197, 2.304150104522705, 2.3128859996795654, 2.2811434268951416, 2.2977941036224365, 2.312443494796753, 2.3211278915405273, 2.300856590270996, 2.3158881664276123, 2.2793376445770264, 2.2997589111328125, 2.314657688140869, 2.302579641342163, 2.2793824672698975, 2.2939045429229736, 2.309729814529419, 2.316012382507324, 2.3102636337280273, 2.3102385997772217, 2.314864158630371, 2.3083808422088623, 2.2776741981506348, 2.3119397163391113, 2.263514518737793]","[0, 60000, 120000, 180000]","[2.312464033126831, 2.310934836959839, 2.3083527294158936, 2.3051938541412356]",11.350000381469727,29290
shallow_and_wide_1,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.3098888397216797, 2.302429676055908, 2.3057618141174316, 2.2987313270568848, 2.302431106567383, 2.299828052520752, 2.3092029094696045, 2.308140993118286, 2.299084424972534, 2.305022716522217, 2.3033206462860107, 2.310673475265503, 2.3016574382781982, 2.3051955699920654, 2.316343069076538, 2.314206123352051, 2.296922206878662, 2.271472215652466, 2.3014817237854004, 3.2016799449920654, 2.314912796020508, 2.3219621181488037, 2.2998554706573486, 2.2732324600219727, 2.3391621112823486, 2.320993661880493, 2.3211233615875244, 2.2916581630706787, 2.302004098892212, 2.320474624633789]","[0, 60000, 120000, 180000]","[2.296459928512573, 2.305562112426758, 2.3044211280822755, 2.303261164855957]",9.739999771118164,370394
deep_and_wide_1e-07,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.3035662174224854, 2.327197313308716, 2.330711841583252, 2.3195903301239014, 2.3349621295928955, 2.3215489387512207, 2.3218772411346436, 2.335258722305298, 2.305304527282715, 2.3285422325134277, 2.3443377017974854, 2.311868190765381, 2.29984974861145, 2.3081371784210205, 2.3457865715026855, 2.3165111541748047, 2.337066173553467, 2.3545238971710205, 2.3264682292938232, 2.326359748840332, 2.316265344619751, 2.3001251220703125, 2.348210573196411, 2.3175241947174072, 2.32686185836792, 2.303629159927368, 2.3045244216918945, 2.335911512374878, 2.309037208557129, 2.3214657306671143]","[0, 60000, 120000, 180000]","[2.319143253326416, 2.3190997703552245, 2.3190566062927247, 2.3190132827758787]",8.710000038146973,209456
deep_and_narrow_1e-07,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.3026304244995117, 2.3179664611816406, 2.304769277572632, 2.291649580001831, 2.3008601665496826, 2.319232940673828, 2.3129959106445312, 2.3192203044891357, 2.311326265335083, 2.3074259757995605, 2.3188273906707764, 2.318851947784424, 2.326010227203369, 2.327929735183716, 2.3115603923797607, 2.3004446029663086, 2.3140954971313477, 2.321617841720581, 2.2921721935272217, 2.3001272678375244, 2.320272207260132, 2.3068888187408447, 2.3355162143707275, 2.3240602016448975, 2.311028003692627, 2.3202898502349854, 2.3110179901123047, 2.3405587673187256, 2.329991579055786, 2.3096249103546143]","[0, 60000, 120000, 180000]","[2.308216146469116, 2.308211038208008, 2.308205920410156, 2.3082008571624755]",8.600000381469727,26474
shallow_and_narrow_1e-07,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.326059579849243, 2.350799322128296, 2.2569141387939453, 2.370574951171875, 2.285032272338867, 2.3479411602020264, 2.290698528289795, 2.333203077316284, 2.3466265201568604, 2.387018918991089, 2.3714466094970703, 2.3863472938537598, 2.309922695159912, 2.28692889213562, 2.324812889099121, 2.316821336746216, 2.3493428230285645, 2.347994565963745, 2.3269710540771484, 2.3479504585266113, 2.339813470840454, 2.3494043350219727, 2.351534605026245, 2.364096164703369, 2.3167741298675537, 2.3711085319519043, 2.3563685417175293, 2.3354134559631348, 2.341193199157715, 2.3123066425323486]","[0, 60000, 120000, 180000]","[2.318611097717285, 2.318539504623413, 2.3184678497314453, 2.318396739959717]",12.479999542236328,29290
shallow_and_wide_1e-07,"[0, 6400, 12800, 19200, 25600, 32000, 38400, 44800, 51200, 57600, 60000, 66400, 72800, 79200, 85600, 92000, 98400, 104800, 111200, 117600, 120000, 126400, 132800, 139200, 145600, 152000, 158400, 164800, 171200, 177600]","[2.28600811958313, 2.2817935943603516, 2.3282625675201416, 2.3277251720428467, 2.3185365200042725, 2.316861152648926, 2.3392751216888428, 2.26002836227417, 2.325507402420044, 2.285031795501709, 2.322200059890747, 2.3136777877807617, 2.331467390060425, 2.283494710922241, 2.3278861045837402, 2.3143973350524902, 2.2889187335968018, 2.2449231147766113, 2.291654109954834, 2.3618667125701904, 2.356559991836548, 2.2839529514312744, 2.3233070373535156, 2.347269296646118, 2.338301658630371, 2.3139941692352295, 2.3121654987335205, 2.3219611644744873, 2.3181238174438477, 2.3262743949890137]","[0, 60000, 120000, 180000]","[2.29589987411499, 2.295670552062988, 2.2954420757293703, 2.2952131771087645]",9.4399995803833,370394
